"word","topic_index","weight"
"cadáveres",1,0.019795597406113592
"reía",17,0.019516081790275773
"almas",11,0.01945818703523485
"fuegos",8,0.019355470400986792
"sexo",38,0.019355462469394947
"militares",2,0.01923431842001816
"voy",18,0.019174137034654305
"cena",12,0.019091100433109874
"lástima",39,0.01891078308175029
"dirección",30,0.01879276586663676
"atacar",15,0.018736577617236336
"parciales",31,0.01867508420569064
"quise",44,0.01862576861070093
"enfermos",48,0.018621852333953613
"ojo",7,0.01857697681588465
"duerme",24,0.01818416535033724
"noviciado",5,0.018092754750995116
"faldas",26,0.017894005630241253
"estómago",12,0.01789146588450032
"rapidez",30,0.017872563830110804
"espinosa",31,0.01783846664664394
"temer",43,0.017831341510411613
"empujé",49,0.01778418723828892
"curar",48,0.017688986797208924
"exclamaciones",21,0.01763408680649725
"dedo",10,0.01749059552998184
"durmiendo",24,0.01732978966184616
"antonieta",45,0.01701644195842071
"batallón",2,0.01696923046084612
"riendo",17,0.016946617260663415
"paga",42,0.016872933534680244
"barranco",5,0.016869071142732686
"pistolas",3,0.0167967212297201
"exclamó",21,0.016775622008852808
"moda",26,0.01669889113066874
"gravemente",48,0.016683034651736747
"campo",31,0.016617038242056393
"género",38,0.01660968932813653
"quemada",8,0.016493324841870494
"iré",18,0.016388894938348116
"profunda",39,0.01621313668954252
"cáliz",16,0.01611171753563088
"angustia",39,0.016042846810323926
"arroyos",33,0.016003233348781013
"consejo",37,0.015938847521490787
"manecita",5,0.015858110415059818
"vaso",33,0.015856291384487256
"enemigas",15,0.01582971775294444
"caleta",5,0.015659768342599346
"velozmente",30,0.01563455128104932
"caballería",28,0.015618219287935373
"insomnio",24,0.015549127584973683
"puedo",18,0.015500569342656876
"corrimos",30,0.01545976743594133
"pesar",39,0.015361484610086913
"abrir",49,0.015247699501761258
"matar",1,0.015154677684316522
"chica",19,0.014964686165259257
"comeremos",12,0.01493199587718215
"sopas",12,0.01493199587718215
"almuerzo",12,0.01493199587718215
"temores",43,0.01485094990632945
"anoche",14,0.014793295732872075
"llevaré",18,0.014777362328204662
"hacia",30,0.014490510495341733
"particular",5,0.014377940676149939
"pagas",42,0.014367800246346677
"pude",44,0.01433994822640906
"já",42,0.01433034465131052
"desgracia",39,0.014288310324243693
"salvarme",44,0.014239751706839112
"nieves",45,0.01422829211417588
"otello",5,0.01406231446358343
"barra",5,0.01406231446358343
"juntas",42,0.013980047846724662
"inesilla",35,0.0139784905805354
"hembra",38,0.013940535386343093
"escorial",5,0.013925372784714604
"sr",34,0.01389357418121212
"cadáver",1,0.013856918184279515
"ancha",16,0.013733579700392382
"carlos",4,0.013724548256654893
"quiero",18,0.0136388933160675
"abierta",49,0.013630231646981836
"francesas",0,0.013593841401391353
"legua",33,0.013572746361576911
"deuda",42,0.013539373790717586
"préstamos",42,0.013539373790717586
"deudas",42,0.013539373790717586
"pánico",43,0.013492149416533318
"godoy",9,0.013207416414444707
"pabostre",16,0.013198459985682011
"rosellón",37,0.013121057680741195
"postas",16,0.013102660235871956
"llama",8,0.012962508906483022
"hembras",38,0.012903641646263297
"materna",46,0.012864087317519965
"oprime",35,0.01269125294282729
"mirada",7,0.012645813988601071
"esquina",16,0.012594140677615386
"luchar",31,0.012571008414498824
"comunicaba",49,0.01249472243414563
"mozas",19,0.012470571804382715
"acabe",37,0.012456036783466035
"lanzó",21,0.012434143164759454
"conmigo",18,0.012384331114655046
"carmen",45,0.01232606212359657
"pasaré",18,0.012319635878375724
"seguí",44,0.012291548181653263
"cayó",48,0.012156257719222617
"abrían",49,0.012150397968788808
"niña",19,0.012110674518809665
"marchábamos",30,0.012084590791212897
"temo",43,0.012073272678337741
"voces",21,0.011908115837904172
"sepultura",1,0.011900305514271063
"viviente",11,0.011860591784292374
"uñas",10,0.01185840981473114
"daré",18,0.011785946513263252
"quería",44,0.011732684912516504
"sal",16,0.011709341969142533
"dejándome",44,0.011502472699266424
"londres",25,0.011490289561714556
"rendirá",13,0.011468847913873195
"ganadas",31,0.011457206236641579
"corazas",35,0.011448426290505133
"asusta",43,0.011435364659411907
"haré",18,0.011422785993486645
"lamentaban",48,0.011379439022797134
"adopción",46,0.011379439022797134
"maternidad",46,0.011379439022797134
"canal",33,0.011367442559985607
"atrás",30,0.011298992860945854
"avanzada",14,0.011237842125625199
"podré",18,0.011225004796538924
"femenino",38,0.011161161419224404
"razón",32,0.011107618189974598
"camino",30,0.011098015496648869
"traté",44,0.011065317363853867
"entreabrió",49,0.01105270265481583
"abrirla",49,0.01105270265481583
"rendirán",13,0.011022354633451035
"desgraciada",19,0.010984446456617692
"jinete",28,0.010952669104809985
"autoridad",46,0.010825692069367563
"izquierdo",10,0.010814628346869765
"misericordia",9,0.01072293296994587
"exterminio",37,0.010631566687857696
"paso",30,0.010584413349539584
"inspección",46,0.01055663853348325
"petulancia",34,0.010464860102043814
"sexos",38,0.010455401539757322
"rodeo",28,0.01032115414144716
"empedernido",35,0.010310187629482914
"inmóvil",33,0.010237773473282204
"bonapartes",23,0.010199667499685228
"quemaba",8,0.010139986003931801
"ciegos",7,0.01012470916319452
"vivienda",6,0.01000835017871047
"despidiéndome",44,0.009967169358360702
"ataques",15,0.009903605774759338
"mulo",28,0.009854341617143658
"palpitar",35,0.009772378622340566
"defenderse",15,0.009747987545484225
"curándole",45,0.009707156244664337
"divina",9,0.009694973464804184
"pozos",13,0.009645770115201131
"anochecer",14,0.009632436107678742
"lesbia",20,0.009586992350199061
"sentir",35,0.009584396064120536
"españas",4,0.00957673507684915
"muera",23,0.009500819367183352
